 ******DEPTH-DISTANCE STATISTICS FILE******
 SUMMARY FILE FOR austin_ratios.out                                           
 TYPE (0=ALL,2=TWOSEA,4=FOURSEA) =            0
 TWOSEA(1=SUM,2=WIN) =            0
 FOURSEA(1=WIN,2=SPR,etc) =            0
 LOWER RECURRENCE INTERVAL BOUNDS =    2.000000    
 MeanDis  Mean   StDev   CoeVar  Median  NumSam  NumZero  ProbZero
   (mi)   (--)    (--)   (--)     (--)   (no.)    (no.)    (prob)
     0      1      0       0       1       0      0     0
   0.83  0.7778  0.2770  0.3562  0.8870      23        1   0.0417
   1.49  0.7216  0.3717  0.5152  0.8480     118       18   0.1324
   2.49  0.7103  0.3512  0.4945  0.8090     199       23   0.1036
   3.49  0.7363  0.3378  0.4588  0.8170     255       21   0.0761
   4.53  0.6426  0.3414  0.5312  0.7100     294       23   0.0726
   5.47  0.7046  0.3007  0.4268  0.7460     269       11   0.0393
   6.49  0.6507  0.3399  0.5224  0.6560     264       17   0.0605
   7.51  0.6188  0.3415  0.5518  0.6370     274       23   0.0774
   8.52  0.6264  0.3527  0.5632  0.6420     266       21   0.0732
   9.50  0.5623  0.3644  0.6481  0.5560     286       24   0.0774
  10.49  0.6065  0.3742  0.6170  0.5740     259       16   0.0582
  11.51  0.5414  0.3706  0.6846  0.5200     247       30   0.1083
  12.56  0.4741  0.3419  0.7210  0.4630     243       26   0.0967
  13.52  0.5515  0.3844  0.6971  0.5080     219       21   0.0875
  14.47  0.4511  0.3276  0.7263  0.4450     157       14   0.0819
  15.43  0.4671  0.3600  0.7706  0.4110     191       18   0.0861
  16.50  0.4837  0.3529  0.7296  0.4280     192       16   0.0769
  17.51  0.4798  0.3653  0.7612  0.4460     157       22   0.1229
  18.53  0.3778  0.3384  0.8958  0.3270     135       21   0.1346
  19.55  0.4581  0.3648  0.7963  0.3970     177       17   0.0876
  20.39  0.4568  0.3630  0.7946  0.4080     108        9   0.0769
  21.50  0.3098  0.2962  0.9561  0.2510     156       21   0.1186
  22.45  0.3666  0.3394  0.9256  0.2920     205       27   0.1164
  23.38  0.3320  0.3071  0.9249  0.3090     170       24   0.1237
  24.58  0.3340  0.3168  0.9486  0.2520     219       23   0.0950
  25.45  0.2806  0.2739  0.9760  0.2330     156       28   0.1522
  26.52  0.3686  0.3449  0.9358  0.2640     164       22   0.1183
  27.40  0.2976  0.2838  0.9538  0.2230     196       32   0.1404
  28.52  0.3040  0.2957  0.9726  0.2240     182       28   0.1333
  29.44  0.3236  0.2996  0.9258  0.2370     181       26   0.1256
  30.52  0.2941  0.2766  0.9405  0.2460     187       27   0.1262
  31.53  0.3188  0.2897  0.9087  0.2360     193       15   0.0721
  32.48  0.2626  0.2736  1.0418  0.1860     198       33   0.1429
  33.44  0.3017  0.2987  0.9902  0.2460     144       24   0.1429
  34.55  0.3149  0.2959  0.9397  0.2550     131       13   0.0903
  35.52  0.3155  0.2823  0.8948  0.2590     131       16   0.1088
  36.58  0.3110  0.3112  1.0009  0.2390     134       16   0.1067
  37.71  0.3412  0.3199  0.9377  0.2530     147       24   0.1404
  38.48  0.2858  0.2764  0.9671  0.2280     106       18   0.1452
  39.45  0.3495  0.3786  1.0832  0.1340      53       10   0.1587
  40.49  0.3608  0.3148  0.8725  0.2640      83       12   0.1263
  41.46  0.3962  0.2882  0.7274  0.3390      56        5   0.0820
  42.26  0.2495  0.2653  1.0635  0.1310      64       14   0.1795
  43.51  0.3073  0.3064  0.9973  0.2050      68        8   0.1053
  44.50  0.3048  0.3295  1.0813  0.1460      17        2   0.1053
  45.24  0.3077  0.2375  0.7720  0.2700      57        6   0.0952
  46.64  0.3166  0.3023  0.9549  0.2730      26        1   0.0370
  47.48  0.3560  0.3374  0.9476  0.2430     107       11   0.0932
  48.13  0.3429  0.3211  0.9364  0.2450      54        5   0.0847
  49.85  0.2967  0.3009  1.0145  0.1470      49        4   0.0755
  50.27  0.2941  0.2514  0.8548  0.2550      48        7   0.1273
  51.53  0.4006  0.3336  0.8327  0.3220      76        5   0.0617
  52.57  0.3021  0.2441  0.8079  0.2510      26        1   0.0370
  53.82  0.3926  0.3220  0.8201  0.3280      24        1   0.0400
  54.26  0.3789  0.3695  0.9752  0.2250      18        3   0.1429
  55.35  0.2679  0.2863  1.0688  0.1680      26        4   0.1333
  56.70  0.1920  0.2029  1.0568  0.0940      20        6   0.2308
  57.96  0.2689  0.2617  0.9731  0.1320      17        2   0.1053
  59.55  0.2188  0.2275  1.0399  0.1180      21        2   0.0870
  61.59  0.1893  0.2610  1.3790  0.0000      20       10   0.3333
  62.76  0.2117  0.2477  1.1698  0.0950      44        8   0.1538
  63.75  0.2068  0.2802  1.3552  0.0200      17        6   0.2609
  66.67  0.1686  0.1959  1.1615  0.0620      42       10   0.1923
  70.58  0.2275  0.2648  1.1642  0.1060      19        5   0.2083
