# Observed curve number calculations
# Area in square miles
# Precip and Runoff in inches
STATION  AREA  MONTHYEAR  PRECIP  RUNOFF  OBS-CN
08088100  11.8  05/15/1958  2.04  0.489  77.5
08088100  11.8  06/15/1958  2.10  0.011  52.9
08088100  11.8  07/15/1958  4.78  0.265  42.2
08088100  11.8  08/15/1958  1.90  0.015  56.3
08088100  11.8  09/15/1958  4.59  0.298  44.4
08088100  11.8  10/15/1958  1.20  0.002  64.6
08088100  11.8  11/15/1958  1.25  0.004  64.5
08088100  11.8  03/15/1959  0.58  0.001  79.1
08088100  11.8  04/15/1959  0.80  0.006  75.3
08088100  11.8  05/15/1959  3.78  0.048  40.7
08088100  11.8  06/15/1959  4.53  0.256  43.7
08088100  11.8  07/15/1959  0.96  0.006  71.4
08088100  11.8  08/15/1959  1.07  0.003  67.8
08088100  11.8  09/15/1959  2.11  0.073  59.4
08088100  11.8  10/15/1959  6.44  1.874  56.1
08088100  11.8  12/15/1959  2.53  0.055  52.7
08088100  11.8  01/15/1960  1.98  0.049  59.3
08088100  11.8  02/15/1960  2.00  0.167  66.7
08088100  11.8  03/15/1960  0.69  0.002  76.6
08088100  11.8  04/15/1960  0.96  0.007  71.7
08088100  11.8  05/15/1960  1.59  0.022  62.2
08088100  11.8  06/15/1960  1.25  0.010  66.2
08088100  11.8  07/15/1960  5.60  0.270  37.5
08088100  11.8  08/15/1960  0.87  0.004  72.8
08088100  11.8  09/15/1960  3.73  0.043  40.7
08088100  11.8  10/15/1960  3.55  0.057  43.0
08088100  11.8  12/15/1960  2.55  0.030  50.1
08088100  11.8  01/15/1961  1.85  0.026  58.7
08088100  11.8  02/15/1961  2.14  0.136  63.0
08088100  11.8  03/15/1961  2.60  0.048  51.3
08088100  11.8  05/15/1961  1.45  0.003  60.5
08088100  11.8  06/15/1961  3.23  0.050  45.2
08088100  11.8  07/15/1961  2.70  0.030  48.5
08088100  11.8  09/15/1961  5.93  0.258  35.5
08088100  11.8  11/15/1961  3.94  0.573  56.6
08088100  11.8  12/15/1961  1.40  0.054  69.4
08088100  11.8  01/15/1962  0.75  0.001  74.3
08088100  11.8  02/15/1962  0.29  0.001  88.7
08088100  11.8  03/15/1962  1.89  0.057  61.3
08088100  11.8  04/15/1962  1.85  0.023  58.3
08088100  11.8  05/15/1962  1.41  0.017  64.6
08088100  11.8  06/15/1962  6.31  0.798  43.1
08088100  11.8  07/15/1962  4.94  0.062  34.4
08088100  11.8  08/15/1962  0.55  0.001  80.0
08088100  11.8  09/15/1962  8.17  1.311  39.9
08088100  11.8  10/15/1962  2.45  0.109  57.3
08088100  11.8  11/15/1962  2.22  0.590  77.5
08088100  11.8  12/15/1962  1.31  0.168  78.6
08088100  11.8  02/15/1963  0.43  0.003  84.9
08088100  11.8  03/15/1963  1.43  0.010  62.9
08088100  11.8  04/15/1963  3.41  0.168  49.7
08088100  11.8  05/15/1963  3.22  0.071  46.7
08088100  11.8  06/15/1963  2.71  0.370  64.7
08088100  11.8  07/15/1963  1.85  0.015  57.0
08088100  11.8  09/15/1963  0.67  0.001  76.5
08088100  11.8  10/15/1963  4.83  0.373  44.6
08088100  11.8  11/15/1963  2.40  0.188  62.0
08088100  11.8  12/15/1963  1.14  0.021  70.6
08088100  11.8  01/15/1964  2.27  0.069  56.9
08088100  11.8  02/15/1964  2.43  0.668  76.4
08088100  11.8  03/15/1964  1.17  0.011  68.1
08088100  11.8  04/15/1964  2.36  0.068  55.7
08088100  11.8  05/15/1964  6.98  1.609  49.5
08088100  11.8  06/15/1964  2.69  0.427  66.7
08088100  11.8  08/15/1964  1.67  0.009  58.6
08088100  11.8  09/15/1964  5.22  0.397  42.6
08088100  11.8  11/15/1964  2.96  0.062  48.6
08088100  11.8  12/15/1964  0.46  0.001  82.9
08088100  11.8  01/15/1965  2.17  0.068  58.2
08088100  11.8  02/15/1965  1.21  0.014  67.9
08088100  11.8  03/15/1965  0.74  0.002  75.2
08088100  11.8  04/15/1965  2.43  0.084  56.0
