# Observed curve number calculations
# Area in square miles
# Precip and Runoff in inches
STATION  AREA  MONTHYEAR  PRECIP  RUNOFF  OBS-CN
08088100  11.8  05/15/1958  2.04  0.489  pscale:.775
08088100  11.8  06/15/1958  2.10  0.011  pscale:.529
08088100  11.8  07/15/1958  4.78  0.265  pscale:.422
08088100  11.8  08/15/1958  1.90  0.015  pscale:.563
08088100  11.8  09/15/1958  4.59  0.298  pscale:.444
08088100  11.8  10/15/1958  1.20  0.002  pscale:.646
08088100  11.8  11/15/1958  1.25  0.004  pscale:.645
08088100  11.8  03/15/1959  0.58  0.001  pscale:.791
08088100  11.8  04/15/1959  0.80  0.006  pscale:.753
08088100  11.8  05/15/1959  3.78  0.048  pscale:.407
08088100  11.8  06/15/1959  4.53  0.256  pscale:.437
08088100  11.8  07/15/1959  0.96  0.006  pscale:.714
08088100  11.8  08/15/1959  1.07  0.003  pscale:.678
08088100  11.8  09/15/1959  2.11  0.073  pscale:.594
